Fra_dato;Til_dato;Maengde;Maaleenhed
12-05-2020 23:00:00;13-05-2020 00:00:00;0;KWH
13-05-2020 00:00:00;13-05-2020 01:00:00;0;KWH
13-05-2020 01:00:00;13-05-2020 02:00:00;0;KWH
13-05-2020 02:00:00;13-05-2020 03:00:00;0;KWH
13-05-2020 03:00:00;13-05-2020 04:00:00;0;KWH
13-05-2020 04:00:00;13-05-2020 05:00:00;0;KWH
13-05-2020 05:00:00;13-05-2020 06:00:00;0.001;KWH
13-05-2020 06:00:00;13-05-2020 07:00:00;0.077;KWH
13-05-2020 07:00:00;13-05-2020 08:00:00;0.273;KWH
13-05-2020 08:00:00;13-05-2020 09:00:00;1.089;KWH
13-05-2020 09:00:00;13-05-2020 10:00:00;1.745;KWH
13-05-2020 10:00:00;13-05-2020 11:00:00;1.898;KWH
13-05-2020 11:00:00;13-05-2020 12:00:00;1.694;KWH
13-05-2020 12:00:00;13-05-2020 13:00:00;1.819;KWH
13-05-2020 13:00:00;13-05-2020 14:00:00;1.204;KWH
13-05-2020 14:00:00;13-05-2020 15:00:00;2.304;KWH
13-05-2020 15:00:00;13-05-2020 16:00:00;2.02;KWH
13-05-2020 16:00:00;13-05-2020 17:00:00;2.008;KWH
13-05-2020 17:00:00;13-05-2020 18:00:00;1.401;KWH
13-05-2020 18:00:00;13-05-2020 19:00:00;0.981;KWH
13-05-2020 19:00:00;13-05-2020 20:00:00;0.248;KWH
13-05-2020 20:00:00;13-05-2020 21:00:00;0.015;KWH
13-05-2020 21:00:00;13-05-2020 22:00:00;0;KWH
13-05-2020 22:00:00;13-05-2020 23:00:00;0;KWH
13-05-2020 23:00:00;14-05-2020 00:00:00;0;KWH
14-05-2020 00:00:00;14-05-2020 01:00:00;0;KWH
14-05-2020 01:00:00;14-05-2020 02:00:00;0;KWH
14-05-2020 02:00:00;14-05-2020 03:00:00;0;KWH
14-05-2020 03:00:00;14-05-2020 04:00:00;0;KWH
14-05-2020 04:00:00;14-05-2020 05:00:00;0;KWH
14-05-2020 05:00:00;14-05-2020 06:00:00;0.005;KWH
14-05-2020 06:00:00;14-05-2020 07:00:00;0.121;KWH
14-05-2020 07:00:00;14-05-2020 08:00:00;0.606;KWH
14-05-2020 08:00:00;14-05-2020 09:00:00;1.069;KWH
14-05-2020 09:00:00;14-05-2020 10:00:00;1.452;KWH
14-05-2020 10:00:00;14-05-2020 11:00:00;2.089;KWH
14-05-2020 11:00:00;14-05-2020 12:00:00;2.211;KWH
14-05-2020 12:00:00;14-05-2020 13:00:00;2.313;KWH
14-05-2020 13:00:00;14-05-2020 14:00:00;2.581;KWH
14-05-2020 14:00:00;14-05-2020 15:00:00;2.553;KWH
14-05-2020 15:00:00;14-05-2020 16:00:00;2.232;KWH
14-05-2020 16:00:00;14-05-2020 17:00:00;1.903;KWH
14-05-2020 17:00:00;14-05-2020 18:00:00;0.872;KWH
14-05-2020 18:00:00;14-05-2020 19:00:00;0.475;KWH
14-05-2020 19:00:00;14-05-2020 20:00:00;0.222;KWH
14-05-2020 20:00:00;14-05-2020 21:00:00;0.019;KWH
14-05-2020 21:00:00;14-05-2020 22:00:00;0;KWH
14-05-2020 22:00:00;14-05-2020 23:00:00;0;KWH
14-05-2020 23:00:00;15-05-2020 00:00:00;0;KWH
15-05-2020 00:00:00;15-05-2020 01:00:00;0;KWH
15-05-2020 01:00:00;15-05-2020 02:00:00;0;KWH
15-05-2020 02:00:00;15-05-2020 03:00:00;0;KWH
15-05-2020 03:00:00;15-05-2020 04:00:00;0;KWH
15-05-2020 04:00:00;15-05-2020 05:00:00;0;KWH
15-05-2020 05:00:00;15-05-2020 06:00:00;0.005;KWH
15-05-2020 06:00:00;15-05-2020 07:00:00;0.1;KWH
15-05-2020 07:00:00;15-05-2020 08:00:00;0.404;KWH
15-05-2020 08:00:00;15-05-2020 09:00:00;0.389;KWH
15-05-2020 09:00:00;15-05-2020 10:00:00;0.829;KWH
15-05-2020 10:00:00;15-05-2020 11:00:00;0.652;KWH
15-05-2020 11:00:00;15-05-2020 12:00:00;1.341;KWH
15-05-2020 12:00:00;15-05-2020 13:00:00;2.126;KWH
15-05-2020 13:00:00;15-05-2020 14:00:00;0.999;KWH
15-05-2020 14:00:00;15-05-2020 15:00:00;1.693;KWH
15-05-2020 15:00:00;15-05-2020 16:00:00;1.307;KWH
15-05-2020 16:00:00;15-05-2020 17:00:00;0.546;KWH
15-05-2020 17:00:00;15-05-2020 18:00:00;0.599;KWH
15-05-2020 18:00:00;15-05-2020 19:00:00;0.754;KWH
15-05-2020 19:00:00;15-05-2020 20:00:00;0.263;KWH
15-05-2020 20:00:00;15-05-2020 21:00:00;0.02;KWH
15-05-2020 21:00:00;15-05-2020 22:00:00;0;KWH
15-05-2020 22:00:00;15-05-2020 23:00:00;0;KWH
15-05-2020 23:00:00;16-05-2020 00:00:00;0;KWH
16-05-2020 00:00:00;16-05-2020 01:00:00;0;KWH
