Fra_dato;Til_dato;Maengde;Maaleenhed
12-05-2020 21:00:00;12-05-2020 22:00:00;0.095;KWH
12-05-2020 22:00:00;12-05-2020 23:00:00;0.136;KWH
12-05-2020 23:00:00;13-05-2020 00:00:00;0.116;KWH
13-05-2020 00:00:00;13-05-2020 01:00:00;0.102;KWH
13-05-2020 01:00:00;13-05-2020 02:00:00;0.093;KWH
13-05-2020 02:00:00;13-05-2020 03:00:00;0.094;KWH
13-05-2020 03:00:00;13-05-2020 04:00:00;0.095;KWH
13-05-2020 04:00:00;13-05-2020 05:00:00;0.088;KWH
13-05-2020 05:00:00;13-05-2020 06:00:00;0.09;KWH
13-05-2020 06:00:00;13-05-2020 07:00:00;0.121;KWH
13-05-2020 07:00:00;13-05-2020 08:00:00;0.086;KWH
13-05-2020 08:00:00;13-05-2020 09:00:00;0.083;KWH
13-05-2020 09:00:00;13-05-2020 10:00:00;0.145;KWH
13-05-2020 10:00:00;13-05-2020 11:00:00;0.138;KWH
13-05-2020 11:00:00;13-05-2020 12:00:00;0.103;KWH
13-05-2020 12:00:00;13-05-2020 13:00:00;0.092;KWH
13-05-2020 13:00:00;13-05-2020 14:00:00;0.116;KWH
13-05-2020 14:00:00;13-05-2020 15:00:00;0.081;KWH
13-05-2020 15:00:00;13-05-2020 16:00:00;0.056;KWH
13-05-2020 16:00:00;13-05-2020 17:00:00;0.78;KWH
13-05-2020 17:00:00;13-05-2020 18:00:00;0.796;KWH
13-05-2020 18:00:00;13-05-2020 19:00:00;0.265;KWH
13-05-2020 19:00:00;13-05-2020 20:00:00;0.454;KWH
13-05-2020 20:00:00;13-05-2020 21:00:00;0.636;KWH
13-05-2020 21:00:00;13-05-2020 22:00:00;0.203;KWH
13-05-2020 22:00:00;13-05-2020 23:00:00;0.185;KWH
13-05-2020 23:00:00;14-05-2020 00:00:00;0.095;KWH
14-05-2020 00:00:00;14-05-2020 01:00:00;0.089;KWH
14-05-2020 01:00:00;14-05-2020 02:00:00;0.167;KWH
14-05-2020 02:00:00;14-05-2020 03:00:00;0.081;KWH
14-05-2020 03:00:00;14-05-2020 04:00:00;0.081;KWH
14-05-2020 04:00:00;14-05-2020 05:00:00;0.095;KWH
14-05-2020 05:00:00;14-05-2020 06:00:00;0.069;KWH
14-05-2020 06:00:00;14-05-2020 07:00:00;0.114;KWH
14-05-2020 07:00:00;14-05-2020 08:00:00;0.057;KWH
14-05-2020 08:00:00;14-05-2020 09:00:00;0.139;KWH
14-05-2020 09:00:00;14-05-2020 10:00:00;0.1;KWH
14-05-2020 10:00:00;14-05-2020 11:00:00;0.189;KWH
14-05-2020 11:00:00;14-05-2020 12:00:00;0.126;KWH
14-05-2020 12:00:00;14-05-2020 13:00:00;0.117;KWH
14-05-2020 13:00:00;14-05-2020 14:00:00;0.06;KWH
14-05-2020 14:00:00;14-05-2020 15:00:00;0.109;KWH
14-05-2020 15:00:00;14-05-2020 16:00:00;0.056;KWH
14-05-2020 16:00:00;14-05-2020 17:00:00;0.483;KWH
14-05-2020 17:00:00;14-05-2020 18:00:00;1.152;KWH
14-05-2020 18:00:00;14-05-2020 19:00:00;0.364;KWH
14-05-2020 19:00:00;14-05-2020 20:00:00;0.637;KWH
14-05-2020 20:00:00;14-05-2020 21:00:00;0.594;KWH
14-05-2020 21:00:00;14-05-2020 22:00:00;0.113;KWH
14-05-2020 22:00:00;14-05-2020 23:00:00;0.117;KWH
14-05-2020 23:00:00;15-05-2020 00:00:00;0.093;KWH
15-05-2020 00:00:00;15-05-2020 01:00:00;0.095;KWH
15-05-2020 01:00:00;15-05-2020 02:00:00;0.092;KWH
15-05-2020 02:00:00;15-05-2020 03:00:00;0.084;KWH
15-05-2020 03:00:00;15-05-2020 04:00:00;0.078;KWH
15-05-2020 04:00:00;15-05-2020 05:00:00;0.093;KWH
15-05-2020 05:00:00;15-05-2020 06:00:00;0.135;KWH
15-05-2020 06:00:00;15-05-2020 07:00:00;0.551;KWH
15-05-2020 07:00:00;15-05-2020 08:00:00;0.228;KWH
15-05-2020 08:00:00;15-05-2020 09:00:00;0.452;KWH
15-05-2020 09:00:00;15-05-2020 10:00:00;0.061;KWH
15-05-2020 10:00:00;15-05-2020 11:00:00;0.063;KWH
15-05-2020 11:00:00;15-05-2020 12:00:00;0.052;KWH
15-05-2020 12:00:00;15-05-2020 13:00:00;0.049;KWH
15-05-2020 13:00:00;15-05-2020 14:00:00;0.105;KWH
15-05-2020 14:00:00;15-05-2020 15:00:00;0.092;KWH
15-05-2020 15:00:00;15-05-2020 16:00:00;0.051;KWH
15-05-2020 16:00:00;15-05-2020 17:00:00;0.996;KWH
15-05-2020 17:00:00;15-05-2020 18:00:00;0.742;KWH
15-05-2020 18:00:00;15-05-2020 19:00:00;0.494;KWH
15-05-2020 19:00:00;15-05-2020 20:00:00;0.595;KWH
15-05-2020 20:00:00;15-05-2020 21:00:00;0.15;KWH
15-05-2020 21:00:00;15-05-2020 22:00:00;0.189;KWH
15-05-2020 22:00:00;15-05-2020 23:00:00;0.265;KWH
15-05-2020 23:00:00;16-05-2020 00:00:00;0.181;KWH
16-05-2020 00:00:00;16-05-2020 01:00:00;0.107;KWH
16-05-2020 01:00:00;16-05-2020 02:00:00;0.098;KWH
16-05-2020 02:00:00;16-05-2020 03:00:00;0.076;KWH
16-05-2020 03:00:00;16-05-2020 04:00:00;0.095;KWH
16-05-2020 04:00:00;16-05-2020 05:00:00;0.091;KWH
16-05-2020 05:00:00;16-05-2020 06:00:00;0.075;KWH
16-05-2020 06:00:00;16-05-2020 07:00:00;0.686;KWH
16-05-2020 07:00:00;16-05-2020 08:00:00;0.063;KWH
16-05-2020 08:00:00;16-05-2020 09:00:00;0.593;KWH
16-05-2020 09:00:00;16-05-2020 10:00:00;0.071;KWH
16-05-2020 10:00:00;16-05-2020 11:00:00;0.053;KWH
